2025-01-01 23:07:00,593 - INFO - Episode 1280/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:27, Epsilon: 0.68
2025-01-01 23:07:03,394 - INFO - Episode 1290/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:26, Epsilon: 0.68
2025-01-01 23:07:06,088 - INFO - Episode 1300/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:30, Epsilon: 0.68
2025-01-01 23:07:08,816 - INFO - Episode 1310/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:19, Epsilon: 0.68
2025-01-01 23:07:11,676 - INFO - Episode 1320/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:21, Epsilon: 0.67
2025-01-01 23:07:14,564 - INFO - Episode 1330/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:26, Epsilon: 0.67
2025-01-01 23:07:17,374 - INFO - Episode 1340/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:27, Epsilon: 0.67
2025-01-01 23:07:20,174 - INFO - Episode 1350/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:26, Epsilon: 0.67
2025-01-01 23:07:23,033 - INFO - Episode 1360/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:31, Epsilon: 0.66
2025-01-01 23:07:25,924 - INFO - Episode 1370/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:25, Epsilon: 0.66
2025-01-01 23:07:28,636 - INFO - Episode 1380/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:24, Epsilon: 0.66
2025-01-01 23:07:31,376 - INFO - Episode 1390/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:25, Epsilon: 0.66
2025-01-01 23:07:34,106 - INFO - Episode 1400/10000, Total Reward: 3, Total Clear Lines:3, Total Blocks:32, Epsilon: 0.65
2025-01-01 23:07:36,982 - INFO - Episode 1410/10000, Total Reward: 4, Total Clear Lines:4, Total Blocks:39, Epsilon: 0.65
2025-01-01 23:07:39,635 - INFO - Episode 1420/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:21, Epsilon: 0.65
2025-01-01 23:07:42,634 - INFO - Episode 1430/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:23, Epsilon: 0.65
2025-01-01 23:07:45,453 - INFO - Episode 1440/10000, Total Reward: 2, Total Clear Lines:2, Total Blocks:32, Epsilon: 0.64
2025-01-01 23:07:48,405 - INFO - Episode 1450/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:27, Epsilon: 0.64
2025-01-01 23:07:51,403 - INFO - Episode 1460/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:26, Epsilon: 0.64
2025-01-01 23:07:54,453 - INFO - Episode 1470/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:32, Epsilon: 0.64
2025-01-01 23:07:57,456 - INFO - Episode 1480/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:27, Epsilon: 0.63
2025-01-01 23:08:00,545 - INFO - Episode 1490/10000, Total Reward: 4, Total Clear Lines:3, Total Blocks:33, Epsilon: 0.63
2025-01-01 23:08:03,566 - INFO - Episode 1500/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:26, Epsilon: 0.63
2025-01-01 23:08:06,414 - INFO - Episode 1510/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:27, Epsilon: 0.63
2025-01-01 23:08:09,435 - INFO - Episode 1520/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:23, Epsilon: 0.62
2025-01-01 23:08:12,574 - INFO - Episode 1530/10000, Total Reward: 4, Total Clear Lines:4, Total Blocks:35, Epsilon: 0.62
2025-01-01 23:08:15,704 - INFO - Episode 1540/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:29, Epsilon: 0.62
2025-01-01 23:08:18,795 - INFO - Episode 1550/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:28, Epsilon: 0.62
2025-01-01 23:08:21,853 - INFO - Episode 1560/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:22, Epsilon: 0.61
2025-01-01 23:08:24,853 - INFO - Episode 1570/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:26, Epsilon: 0.61
2025-01-01 23:08:27,795 - INFO - Episode 1580/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:32, Epsilon: 0.61
2025-01-01 23:08:30,725 - INFO - Episode 1590/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:21, Epsilon: 0.61
2025-01-01 23:08:33,594 - INFO - Episode 1600/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:30, Epsilon: 0.60
2025-01-01 23:08:36,585 - INFO - Episode 1610/10000, Total Reward: 3, Total Clear Lines:3, Total Blocks:32, Epsilon: 0.60
2025-01-01 23:08:39,663 - INFO - Episode 1620/10000, Total Reward: 2, Total Clear Lines:2, Total Blocks:32, Epsilon: 0.60
2025-01-01 23:08:42,474 - INFO - Episode 1630/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:25, Epsilon: 0.60
2025-01-01 23:08:45,524 - INFO - Episode 1640/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:20, Epsilon: 0.59
2025-01-01 23:08:48,433 - INFO - Episode 1650/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:29, Epsilon: 0.59
2025-01-01 23:08:51,445 - INFO - Episode 1660/10000, Total Reward: 2, Total Clear Lines:2, Total Blocks:33, Epsilon: 0.59
